repo_name,time_stamp,pattern,reason_type,group_reason
OriginProtocol/Origin,2019-12-05 23:20:09,sqlite3 better-sqlite3,7,source library
PacktPublishing/Node.js-Design-Patterns-Third-Edition,2020-04-10 10:21:15,superagent axios,1,project specific
parcel-bundler/parcel,2018-08-16 15:52:12,sass node-sass,6,source library
parcel-bundler/parcel,2019-07-14 19:17:26,open opn,3,target library
pattern-lab/patternlab-node,2018-06-09 18:29:52,fs-extra fs-promise,13,target library
pattern-lab/patternlab-node,2018-02-23 18:14:02,opn open,6,source library
pfefferf/ui5-nwabap-deployer,2020-03-17 09:09:30,axios request,6,source library
pikapkg/create-snowpack-app,2020-07-10 15:40:42,kleur chalk,5,target library
pikapkg/create-snowpack-app,2020-07-10 15:40:42,kleur chalk,16,target library
pikapkg/snowpack,2020-07-27 20:09:10,kleur chalk,5,target library
pikapkg/snowpack,2020-07-27 20:09:10,kleur chalk,16,target library
pinterest/gestalt,2018-12-11 19:50:29,postcss-preset-env postcss-cssnext,6,source library
postgres/pgadmin4,2019-12-11 08:32:27,terser-webpack-plugin uglifyjs-webpack-plugin,6,source library
postgres/pgadmin4,2020-01-16 09:14:58,sass node-sass,7,source library
postgres/pgadmin4,2020-01-16 09:14:58,sass node-sass,13,target library
quantopian/qgrid,2017-08-01 03:28:25,jupyter-widgets jupyter-js-widgets,2,project specific
quiltdata/t4,2018-11-04 09:09:09,connected-react-router react,6,source library
RedHatInsights/frontend-components,2021-05-19 13:59:40,sass node-sass,6,source library
rickbeerendonk/react-examples,2019-06-09 09:16:19,core-js babel,6,source library
rstoenescu/quasar-framework,2020-10-28 10:29:57,sass node-sass,6,source library
sanity-io/sanity,2018-01-30 12:00:56,uglify-es uglify-js,2,project specific
sanity-io/sanity,2017-10-03 09:49:06,fs-extra fs-promise,6,source library
sendgrid/sendgrid-nodejs,2020-03-24 22:17:12,axios request,6,source library
seznam/ima,2015-09-09 08:00:04,del gulp,6,source library
ShieldBattery/shieldbattery,2020-05-08 02:11:38,pino bunyan,6,source library
slidewiki/notification-service,2018-04-11 11:08:47,nyc istanbul,6,source library
springload/frontend-starter-kit,2020-01-13 03:39:24,core-js babel,6,source library
springload/frontend-starter-kit,2020-11-12 01:00:55,sass node-sass,6,source library
squaremo/amqp.node,2019-07-19 08:00:20,uuid node-uuid,6,source library
streamr-dev/streamr-platform,2019-05-21 11:58:02,@sentry/browser raven-js,6,source library
streamr-dev/streamr-platform,2019-10-28 05:15:47,ace-builds brace,6,source library
styled-components/styled-components,2020-10-16 02:21:39,stylis emotion,2,project specific
TankerHQ/quickstart-examples,2019-06-05 10:14:08,core-js babel,6,source library
TankerHQ/quickstart-examples,2019-06-05 10:14:08,regenerator-runtime babel,6,source library
thumbtack/thumbprint,2019-07-29 21:39:03,gatsby-plugin-mdx gatsby-mdx,6,source library
tictail/tide,2017-04-23 14:01:42,uuid node-uuid,6,source library
tijmenvangulik/ErgometerJS,2019-08-27 19:12:51,electron electron-prebuilt,2,project specific
TIY-Houston-Front-End-Engineering/Course-Guide,2015-05-29 00:11:25,postcss-import node-sass,5,target library
tracespace/tracespace,2018-04-18 01:42:45,nyc istanbul,2,project specific
tunapanda/wikonnect,2021-03-30 15:55:01,nanoid shortid,6,source library
uclapi/uclapi,2020-05-29 15:03:11,terser-webpack-plugin uglifyjs-webpack-plugin,6,source library
voorhoede/plek,2018-10-24 14:08:52,yargs commander,3,target library
xing/hops,2018-10-10 12:29:00,cross-fetch node-fetch,6,source library
xing/hops,2018-10-10 12:29:00,cross-fetch isomorphic-fetch,6,source library
